num;id;box;genus;Subgenus;sp;ssp;loc;sex;Hauteur_platine;form;Note
69;EL72477;B0003935;Papilio;Princeps;meriones;-;Madagascar;M;55;;
70;EL72478;B0003936;Papilio;Princeps;meriones;-;Madagascar;F;55;;
71;EL72479;B0003936;Papilio;Princeps;meriones;-;Madagascar;F;55;;
72;EL72480;B0003937;Papilio;Princeps;dardanus;dardanus;Côte d'Ivoire;M;60;;
73;EL72481;B0003937;Papilio;Princeps;dardanus;dardanus;Côte d'Ivoire;M;60;;
74;EL72482;B0003938;Papilio;Princeps;dardanus;dardanus;Gabon;F;60;;
75;EL72483;B0003938;Papilio;Princeps;dardanus;dardanus;Congo (RDC);F;60;;
76;EL72484;B0003939;Papilio;Princeps;lormieri;lormieri;Gabon;M;60;;
77;EL72485;B0003939;Papilio;Princeps;lormieri;lormieri;Cameroun;M;60;;
78;EL72486;B0003940;Papilio;Princeps;lormieri;lormieri;Gabon;F;60;;
79;EL72487;B0003940;Papilio;Princeps;lormieri;lormieri;Cameroun;F;60;;
80;EL72488;B0003941;Papilio;Princeps;demodocus;demodocus;Kenya;M;60;;
81;EL72489;B0003941;Papilio;Princeps;demodocus;demodocus;Gabon;M;60;;
82;EL72490;B0003942;Papilio;Princeps;demodocus;demodocus;Gabon;M;60;;
83;EL72491;B0003945;Papilio;Princeps;demodocus;demodocus;Gabon;M;60;;
84;EL72492;B0003945;Papilio;Princeps;demodocus;demodocus;Kenya;M;60;;
85;EL72493;B0003943;Papilio;Princeps;demodocus;demodocus;Guinée Equatoriale;F;60;;
86;EL72494;B0003943;Papilio;Princeps;demodocus;demodocus;Guinée Equatoriale;F;60;;
87;EL72495;B0003943;Papilio;Princeps;demodocus;demodocus;Guinée Equatoriale;F;60;;
88;EL72496;B0003944;Papilio;Princeps;demodocus;demodocus;Gabon;F;60;;
89;EL72497;B0003944;Papilio;Princeps;demodocus;demodocus;Nigeria;F;60;;
90;EL72358;B0003903;Iphiclides;-;feisthamelii;lotteri;Maroc;M;60;;
91;EL72359;B0003903;Iphiclides;-;feisthamelii;lotteri;Tunisie;F;60;;
92;EL72360;B0003903;Iphiclides;-;feisthamelii;lotteri;Asie Mineure;F;60;;
