id;view;meanb
EL75615;V;0.155268975
EL75616;V;0.147275538
EL75617;V;0.109047296
EL75618;D;0.079268308
EL75618;V;0.154751725
EL75619;D;0.071645989
EL75619;V;0.119217896
EL75620;V;0.127390788
EL75621;D;0.056661728
EL75621;V;0.115306383
EL75639;D;0.085360723
EL75639;V;0.200907222
EL75640;D;0.077383671
EL75640;V;0.178213421
EL75641;D;0.108917862
EL75641;V;0.181202346
EL7565;D;0.053257913
EL75662;D;0.048790125
EL75662;V;0.098907936
EL75664;D;0.072330836
EL75664;V;0.133758765
EL75675;D;0.045320858
EL75675;V;0.1396585
EL75676;D;0.054661868
EL75676;V;0.127759284
EL75677;D;0.054176476
EL75677;V;0.142374412
EL75678;D;0.066498578
EL75678;V;0.172461713
EL75680;D;0.095876332
EL75680;V;0.197615948
EL75681;D;0.10894101
EL75681;V;0.203469754
EL75682;D;0.102208239
EL75682;V;0.199669136
EL75684;D;0.050846413
EL75684;V;0.114774109
EL75722;D;0.121876099
EL75722;V;0.185888045
EL75723;D;0.083311069
EL75723;V;0.12355055
EL75729;D;0.238342329
EL75729;V;0.117490546
EL75730;D;0.059067683
EL75730;V;0.096666685
EL7573;0;0.059067683
EL75731;D;0.114255996
EL75731;V;0.115451469
EL75735;D;0.061945134
EL75735;V;0.138628105
EL75736;D;0.064908892
EL75736;V;0.133856069
EL75737;D;0.083224545
EL75737;V;0.142862676
EL75738;D;0.056086101
EL75738;V;0.105816374
EL75739;D;0.095978931
EL75739;V;0.157305009
EL75740;D;0.071431285
EL75740;V;0.146219327
EL75741;D;0.081809961
EL75741;V;0.143139331
EL75748;D;0.071277096
EL75748;V;0.13148867
EL781;V;0.099768096
ELEL43178;V;0.1274348
