id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17;coord18;coord19;coord20;coord21;coord22;coord23
EL72601;V;0.631434597;8.204542463;-2.455687715;28.55449097;-7.233572982;-0.00250103;5.792542915;-0.549083129;9.113289086;-4.420707462;-0.966245911;-8.495032649;9.346644278;9.056576167;3.318278359;2.76183296;-11.36133599;4.382612675;-7.329984356;-6.882411741;4.313681763;-2.05469366;-0.725927446;-1.571793216
EL72602;D;3.005008449;2.043163805;-1.682929;35.0557515;-1.618103938;-1.980987496;5.815880788;3.268208186;4.848888608;-4.624602785;1.21355009;-2.435901024;6.09488926;6.017735192;2.954807999;6.395856679;-8.263221184;4.067948636;-4.705524467;-2.542948458;1.96703581;-2.584977792;-0.367761873;-4.560120032
EL72602;V;6.014482211;2.45269228;-1.280197066;33.93971611;-1.819302771;-2.349622928;4.525251206;1.310851199;7.619519501;-4.052038621;-0.692485957;-1.702966257;8.57433548;7.188743633;3.886950822;4.548089313;-9.00811069;5.115214803;-6.024746922;-2.064085982;1.401142631;-1.988261046;-0.399730135;-2.785803792
EL72603;D;-17.69963015;-2.26169163;12.10704327;1.33565392;-9.612322982;-12.72909121;0.590650482;10.68182483;-6.550935333;-3.870223402;16.37006958;-5.793059079;0.638972731;-1.965629745;2.237956387;-2.758082569;-2.724012238;-2.001611793;-0.890270003;-2.2312908;-2.207360479;-1.56362418;-2.85796447;0.794544137
EL72603;V;-18.01721777;-0.494036409;-0.943305581;12.40131052;0.166974016;2.17730881;2.592125274;8.522583838;-3.176613862;-8.409573345;4.347292558;7.116600081;4.030422532;-12.91724564;-0.217036021;4.095084257;-5.011450193;-4.817568273;-4.932488698;-0.645976884;-5.232780682;7.216683989;1.676068035;2.935071604
EL72604;D;-14.7291862;-6.915993224;-1.191661113;21.26302046;-1.019426846;-0.352707452;7.760483168;10.61393314;-1.46162695;-4.85644349;14.74296995;-0.034697672;-8.93638865;3.252260723;2.038880698;-7.274084706;-2.871562265;-1.957331209;1.736299713;-1.810338756;-8.931237023;-6.29014229;-4.534886025;0.510799082
EL72604;V;-13.40767177;-4.499174171;-13.869925;7.378504535;7.038839281;3.560085058;11.25933719;7.047414206;-10.15358586;-5.057655954;-2.395449039;10.26035546;-1.823932585;-18.60795134;1.56496983;1.945969184;4.756372904;1.819295448;-8.730674279;-1.553613303;2.256280786;5.90456697;6.522547923;1.540287205
EL72605;D;-16.90523155;-9.699451784;1.149717828;18.6112958;-1.205116146;-5.905661868;5.24047844;12.27179207;-6.652382941;-5.358789438;16.7634229;-1.705402842;-7.696129204;0.417213394;0.883773986;-4.502955926;0.644343674;-2.324781801;0.298713435;-3.289057433;-6.596183334;-6.263262154;-4.668834172;-0.885862273
EL72605;V;-18.35372946;-9.081272422;-10.07179918;8.319832577;5.51753764;-2.665199388;10.20714051;8.426176479;-11.49556231;-7.480188153;-0.386468383;8.030389413;0.963110883;-17.25693346;1.611236181;1.378534341;5.58115895;-2.55294039;-10.27054058;-2.956432485;-1.045233536;6.558806677;6.261420187;1.505217977
EL72606;D;-15.70610773;-6.135811787;2.858986738;21.53857162;-3.410743953;-6.26027165;4.181460868;11.67096157;-4.725139788;-8.397370961;16.22274641;-2.340754584;-4.895098545;2.794616434;-0.217721513;-1.401640434;0.123846761;-4.598032955;1.59398849;-5.535809774;-6.469621451;-5.590068345;-3.221226495;-1.310733619
