id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16
EL75513;D;-19.43365149;11.30888785;8.258422761;-10.04841602;4.964408052;3.923259081;13.52122809;-6.923018427;4.926753575;-5.124850275;-0.82008993;4.814105089;-2.370063781;-1.318059193;-3.979946688;-0.811737744;-2.046344015
EL75513;V;-11.5015127;4.585042907;16.41158381;-15.18498849;14.54197808;3.491355754;20.27618186;-5.951593074;8.981537578;-5.883940805;-4.435325431;3.796822703;0.778469119;-4.500348053;-2.963083707;-0.359869324;-5.507379338
EL75529;D;8.176172602;-13.40315376;30.47155105;-9.391902947;-0.031561427;-9.077056863;-5.682806655;-4.12082973;2.289325248;1.005334218;-5.723255889;1.58075085;2.02081786;4.679186726;6.323245013;-1.586773429;1.836935513
EL75529;V;-2.104964358;-7.405759953;-8.857977694;25.61965197;-2.075431794;-9.03979713;-4.551424487;5.615802607;3.700553446;9.173786129;-8.562828149;-4.765256802;5.931838924;2.196039564;0.815342031;-0.651036071;-7.477122915
EL75543;D;20.83846588;6.945918624;18.63069927;23.31142041;8.684550142;4.076300268;1.907914206;18.8645204;2.177873793;30.03429892;16.27306273;14.21144506;-0.803734209;-12.15925132;-4.046138121;15.23699363;-12.18208057
EL75543;V;-7.650288221;-8.418823661;13.63203325;10.69396691;-10.86751034;1.592254683;1.933379506;5.281059909;3.391229857;-4.658625306;-2.307932568;0.530705052;-3.757211669;-3.778689499;-3.769126154;3.0279315;1.144568843
EL75560;D;-24.24468988;16.72533004;-4.869279334;1.221333003;2.6295667;3.173013536;3.458577213;-5.891806513;-0.508992229;2.440395327;4.600473509;-3.295002932;1.403858641;-2.298708129;-3.76047068;0.844677995;1.508728711
EL75560;V;-15.13988747;5.353471385;7.986243299;-10.77920606;11.96989929;4.364524424;17.30923636;-4.160573488;7.004672083;-7.065282321;-4.070573302;3.518005708;1.557239216;-6.121182549;-3.853810921;1.474823217;-2.282890114
EL75562;D;-21.64257599;11.50748267;2.918607736;-5.114316731;6.516985876;3.258735003;9.17687696;-4.037102092;2.561933904;-4.051422086;0.099930149;1.685308342;0.012620943;-2.971751888;-4.710447903;0.386301741;-1.094949966
EL75562;V;-7.578786491;0.064597439;16.03385095;-14.84930865;17.98611494;3.431184132;22.20146401;-3.472188425;9.858553896;-6.346379528;-5.860591433;2.763704338;3.071321018;-7.424188705;-3.589312213;1.440323151;-3.576428162
EL75563;D;-23.51152065;16.68676258;2.272109263;-4.634392226;2.604175588;4.778225887;11.60442453;-7.189666409;3.288028866;-2.017378767;1.843480464;-0.167842015;-1.873079657;-1.617779985;-7.268566035;-0.282618205;0.225257665
EL75563;V;-12.50397117;2.128076229;14.46510529;-10.30010881;10.93341523;3.927873842;17.92333554;-4.810369413;8.378084363;-5.612618204;-4.708022415;3.117394354;0.820904235;-7.10745266;-6.1448884;2.483368421;-0.932029169
EL75565;D;-24.38114048;15.13823682;-3.391426624;3.477725359;-0.813327593;2.709485468;4.382699589;-4.070846501;-0.060668726;1.614509056;2.789901357;-5.108893413;0.030212623;-1.56533011;-6.678742648;0.643446714;1.141788408
EL75565;V;-12.94320536;1.769854035;4.683160787;-4.566395045;4.128419084;4.334503085;21.589512;1.10313216;7.038289928;-7.264031773;-6.34280714;0.611888269;-1.638876796;-5.393836729;-7.577751737;2.310619196;1.957623759
EL75579;D;6.42008393;-11.23845602;9.162734915;-20.98518573;-9.702300682;18.63969717;-14.38145346;7.076857832;-2.406892514;25.54762481;1.217862078;5.331262163;-13.21737656;-3.539786875;-1.936641306;-9.202454859;-7.058846542
EL75579;V;-21.2078735;10.11774803;-4.909727584;10.48368269;-5.597428744;2.922593679;4.334518793;-1.092126944;0.944629137;2.082280559;0.857521234;-7.835713588;-0.703703107;-3.357017104;-6.822331477;1.085048223;1.411957296
EL75581;D;-5.550424378;-9.130424749;-6.520644091;-14.47058913;-11.93703617;5.230642722;9.355330729;7.752271923;-0.49121253;10.60202797;-4.287945929;1.925546967;-10.7046041;-3.224771945;-6.889002504;-2.510624037;5.493026789
EL75581;V;-15.6498606;4.723113392;-7.864833071;13.50237017;-8.802767855;3.97598335;8.406281608;4.298322022;1.549318969;2.061546203;-0.692241438;-10.5950366;-2.984489568;-3.824130171;-7.841707498;1.113570998;2.136209089
EL75585;D;7.311436908;-20.02852379;-4.174298392;-18.48255683;-9.070425925;7.525518804;-14.34966312;7.020995044;-3.111390549;17.56947434;0.480941082;5.948091017;-12.95307645;-6.357280143;-1.488790149;-6.067895198;-1.946266816
