id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17
ACC0184;D;-15.1606532;-6.543295885;3.150056921;7.969976241;4.988021708;-5.372915456;8.872637442;0.240767575;1.167487739;-6.857577179;2.149825364;-4.045504656;6.464594159;-2.6403631;1.427863756;0.012488379;1.027028994;2.323020955
ACC0184;V;-7.209930031;6.327112495;-9.549025743;-1.220990058;-0.427014385;-6.693614905;10.02852425;5.334654912;2.506157768;1.140993589;5.460031465;-2.981305653;0.360277274;-5.070114533;-3.286070773;-0.310050334;-2.023006823;2.107241231
ACC0185;D;-20.5402422;-1.945977862;9.095912242;2.517500714;5.732564056;-5.358116414;3.454014069;0.301026557;-1.570097393;-5.451899857;4.198210627;-3.899695165;3.410147056;-1.66602595;1.288785007;1.96266862;0.057270477;2.963902102
ACC0185;V;-16.63445018;2.240206668;1.700897602;1.217614215;2.236462928;-4.722868523;6.211646714;1.742748052;0.523660173;-1.019416167;3.467002517;-4.027715902;0.158646465;-3.117505271;-2.514746407;1.697665561;0.398822923;1.245529867
ACC0186;D;-21.37517189;-1.798022385;10.15540499;4.096490834;5.44899853;-6.573256694;4.133724685;-1.253221699;-3.689564335;-5.997516705;3.720968153;-1.631247311;5.672964347;1.055070406;3.051114706;0.793388578;-0.443753704;1.950105703
ACC0186;V;-17.26150236;10.19523869;-5.122067001;-2.622427079;4.285713104;-2.115857243;1.649834237;3.286802717;-0.773711356;2.757486123;2.406459245;-3.075613561;-1.323574667;-5.365144042;-4.747478478;0.061533165;-0.023039738;2.737133704
ACC0192;D;-17.96453957;-7.034746714;2.487405058;6.332073146;6.329512191;-0.448620601;3.294777259;2.267025913;0.116371902;-4.770019461;-1.17385051;-2.759539185;4.642753066;-2.06135779;1.975238872;0.581947805;-0.592134278;1.545366706
ACC0192;V;-13.10995265;-6.411654531;7.313399222;-2.712284024;-3.349656315;0.535740332;1.181537781;3.550866012;2.819738369;0.592065211;0.123218366;-1.527482609;-0.632685195;0.319086872;2.700330042;3.891343304;1.028862879;-1.86031319
ACC0195;D;-16.46583729;-7.325760649;4.630584184;1.084283196;1.03537549;2.095440481;0.746690482;2.862666219;0.723788939;-0.657578888;-2.51512108;-0.640702403;0.061117744;0.185991107;2.396202819;2.277838273;0.135769724;-2.348395478
ACC0195;V;-12.11103901;-3.391807616;8.00466352;-5.747916675;-5.910058654;1.685376032;-2.047196445;3.741354747;2.615217124;2.335365358;-0.452150008;0.661939135;-2.126825632;2.848520581;1.938182823;5.364078475;1.643355021;-2.599384717
ACC0207;D;5.270926161;1.237188289;-17.5857192;-7.271428122;7.08844157;29.64146076;-4.254662057;5.800695616;-0.848373957;-6.076545538;1.70974832;2.084266588;-4.817454381;6.651473127;-7.112859948;3.657182115;-4.934098755;1.420106795
ACC0207;V;40.95080632;34.17833301;-2.753620274;0.858325701;2.847377111;43.35831312;34.48758743;-10.71883465;-15.50761199;-27.40413928;16.946056;-4.536816817;-11.37624257;22.59975318;-11.51079809;2.443837928;7.175116073;-11.54758735
ACC0208;D;26.75759556;7.520483256;-23.78265793;-10.4942181;24.79693505;45.20715376;-7.0703867;8.094499577;-0.182572898;-19.28732845;18.01213612;11.17965618;-0.560693469;23.16759162;-7.729897706;13.35664595;-8.214191927;10.14829572
ACC0208;V;45.94122216;41.15085559;-9.14205404;-7.381455655;16.58327478;44.23855291;24.10446166;-4.823138843;-3.843532276;-32.08852749;20.06558398;0.320995589;-3.250186996;22.68751754;-11.63277986;3.39839225;13.07383562;-3.355838481
ACC0209;D;12.65933229;-0.451631881;4.8805349;-13.24884157;-6.591398181;24.9226197;-14.60195547;6.169009258;-0.125030536;-3.38524342;1.06791517;-4.527798576;-0.812920058;9.295805211;-2.96478628;5.116485203;2.212266473;-0.271104728
ACC0209;V;39.28743646;20.53454648;-0.893425899;-15.9113868;1.755116043;35.52013846;9.307843277;3.265595964;-8.530004863;-16.51834337;3.477678192;0.886790713;-0.168361459;10.45044647;-7.076443285;1.772422226;3.774254132;-0.804982492
ACC0213;D;6.937159697;-9.970969887;-14.10759129;-12.95106723;9.113624279;24.31284133;-9.548439666;6.453306361;4.11453813;-3.35587252;7.853714579;7.377942665;-4.23562468;1.951159634;-0.197519703;0.988004114;-9.79861938;6.934877313
