id;view;coord0;coord1;coord2;coord3;coord4;coord5;coord6;coord7;coord8;coord9;coord10;coord11;coord12;coord13;coord14;coord15;coord16;coord17;coord18;coord19
EL72602;D;4.429250764;33.85900718;-27.61326678;-6.720132528;5.191345303;6.535414523;-2.623048819;2.631086457;-0.01018258;-3.629126482;5.733591106;2.801385675;8.219993913;6.171010552;1.442767046;-1.776259616;5.612787129;3.327590659;-1.722171925;1.247304797
EL72602;V;25.51714029;42.14800436;-21.99675863;0.170597241;2.740558612;1.511600736;5.813275355;6.408956576;-15.57427098;2.791825165;3.361164076;-2.002622722;29.0545553;25.48078643;3.540840426;3.16093104;10.42342073;6.287570061;4.912284546;-2.381922538
EL72603;D;-24.18605341;10.94579024;10.2067507;-2.242412157;2.898913947;-0.145558938;-1.740531983;-5.271782753;6.957518303;1.053140624;2.622859486;0.607574729;2.07384075;-2.753903645;1.158233908;2.752679524;0.155477293;0.439063529;-2.941948312;0.710735338
EL72603;V;-16.06123422;14.9512528;-8.59227419;-6.197655991;3.768706432;2.199510927;2.181943251;-4.766780223;8.032029421;-5.523139111;1.524431001;0.228462189;-4.112389583;-2.299354243;2.268475928;-0.345469311;-2.889347025;-0.662567972;-0.14764513;1.678820647
EL72604;D;-20.03185077;15.51438342;0.757471218;-6.220707478;2.890787543;3.319005351;1.146940174;-2.769279963;7.524442068;-0.312723;4.577413848;-1.414192513;-1.503817419;-5.247150364;0.815027432;-0.323500011;0.092883732;-1.208571713;-2.946757377;3.342294088
EL72604;V;-18.69655595;1.269140199;6.895077759;-5.843187325;4.821990152;-7.946907992;12.63576975;0.134091393;6.350793643;-2.632706237;5.625088318;-2.310924937;-3.641485784;5.791380769;-4.514266335;2.089268251;-1.189986216;-0.930259145;2.00275109;4.254502627
EL72612;D;-18.53213762;5.297875742;-0.563486572;-6.385112893;1.748776182;-7.44570145;3.57970619;3.648430128;3.087060855;-2.683670317;5.32348918;-0.835385313;-3.08881852;-1.321862259;-5.769630325;0.988277069;-1.868384339;-1.948353458;-2.42479576;1.517170541
EL72612;V;-6.95437122;7.538451781;-15.65895193;-5.167987097;2.623540886;-10.13737722;8.182398557;4.176985531;6.434347532;-9.57926131;3.089518252;1.783542957;-4.653383269;2.293922767;-3.80993802;-1.21929644;-4.460570064;0.41658743;0.495481964;1.550389928
EL72619;D;-4.374930221;25.34722641;-25.87601528;-6.678300066;2.678850381;6.210257931;-0.94106455;-1.263310266;2.179453902;-7.395571385;5.813997267;2.410584167;-0.441500168;0.397882818;4.35475933;-2.088168157;1.96302063;-0.657829228;0.906698789;-0.208610374
EL72619;V;11.28457175;25.03033734;-29.19900556;-10.15658461;4.970253326;-7.814767114;3.485376374;1.98992199;-3.568997234;-2.144941501;-7.403329115;-3.64534687;9.839243279;11.67598048;-0.311203831;1.942743263;0.320874876;-0.508595188;-2.549587233;-0.047648392
EL72620;D;-17.79841881;12.70160016;1.540327466;2.924395857;-7.13433361;1.145761589;-7.498131466;-2.366056299;-2.833631785;6.826608852;0.907645813;-2.724245469;0.402606133;-0.58718341;6.364033414;-0.537054501;1.225351067;-5.097472882;-0.703954975;-0.093454509
EL72620;V;-23.98228417;8.990305088;13.69158659;-3.412237528;3.034235671;-2.953877108;2.150616895;-3.662201001;7.734359048;2.745942711;5.337882509;-1.376947061;1.553251806;1.755049459;0.495399399;3.851623955;-0.177623586;-0.162903914;-0.727765591;3.927653897
