id;view;meanb;Ant;Post
EL75513;D;0.151217319;0.171634279;0.123551769
EL75513;V;0.181553081;0.237086094;0.129614971
EL75543;D;0.251888418;0.138161209;0.404640183
EL75543;V;0.11463833;0.09800983;0.128355821
EL75560;D;0.079426942;0.074117126;0.085802464
EL75579;D;0.277737771;0.235844497;0.329157186
EL75579;V;0.100777014;0.101543881;0.100175496
EL75581;D;0.177770485;0.171337712;0.186083466
EL75581;V;0.124967401;0.116973989;0.130157822
EL75583;D;0.174485529;0.142215126;0.212843373
EL75583;V;0.074935948;0.074898722;0.074965567
EL75585;D;0.177582845;0.156063751;0.203274645
EL75585;V;0.116332415;0.117214199;0.115788044
EL75587;D;0.235106815;0.216857366;0.256682977
EL75587;V;0.202155162;0.207515522;0.198675632
EL75593;D;0.100691009;0.090570926;0.117518002
EL75593;V;0.12640807;0.129302485;0.123547724
EL75598;D;0.103525112;0.097290799;0.11213189
EL75598;V;0.175110465;0.181357086;0.169744164
EL75599;D;0.132589464;0.128144923;0.138063559
EL75599;V;0.211610201;0.241365666;0.185973125
EL75607;D;0.091209951;0.083202596;0.103601938
EL75607;V;0.136405636;0.15828694;0.11628671
EL75608;D;0.102323195;0.09995753;0.105753948
EL75608;V;0.17411128;0.198051997;0.152729743
EL75615;D;0.145515756;0.161616065;0.122603611
EL75615;V;0.192687212;0.230226173;0.161355809
EL75616;V;0.185887652;0.221997636;0.154408502
EL75617;V;0.146699476;0.143598874;0.149013463
EL75618;D;0.114006527;0.111770952;0.117106686
EL75618;V;0.190610878;0.233943983;0.156345887
EL75619;D;0.102252317;0.10062485;0.104381924
EL75619;V;0.153754773;0.184208291;0.124953715
EL75620;V;0.165237767;0.184157081;0.149208153
EL75621;D;0.092178306;0.095250242;0.088370181
EL75621;V;0.154620035;0.170107837;0.142191021
EL75639;D;0.119326176;0.115605533;0.124590579
EL75639;V;0.236788513;0.221662201;0.250211129
EL75640;D;0.110535467;0.104729409;0.118685193
EL75640;V;0.214242884;0.204799176;0.222627871
EL75641;D;0.136922229;0.127038772;0.150182687
EL75641;V;0.212893537;0.194517851;0.230996972
EL7565;D;0.090483189;0.090925678;0.089979901
EL75662;D;0.077551371;0.066539092;0.092891383
EL75662;V;0.128391495;0.113364218;0.142034307
EL75664;D;0.100280367;0.099368205;0.101696013
EL75664;V;0.159680721;0.161135015;0.158301
EL75675;D;0.077563726;0.068466167;0.089382119
EL75675;V;0.171681998;0.141486502;0.197241445
EL75676;D;0.089215166;0.07212922;0.109630972
EL75676;V;0.161316411;0.12538655;0.187974074
EL75677;D;0.083232263;0.077159163;0.090507979
EL75677;V;0.169296271;0.155287087;0.180518253
EL75678;D;0.09843288;0.087977082;0.112146393
EL75678;V;0.20285261;0.191121698;0.212858356
EL75680;D;0.133199404;0.126261782;0.141964207
EL75680;V;0.233056628;0.217557561;0.244390284
EL75681;D;0.138377681;0.139919709;0.136571916
EL75681;V;0.232755461;0.245422784;0.223267171
EL75682;D;0.133781412;0.12742523;0.141667153
EL75682;V;0.229618905;0.222584076;0.235269261
EL75684;D;0.079964956;0.059343391;0.104158151
EL75684;V;0.144660107;0.108904028;0.171762463
EL75722;D;0.160303971;0.15142581;0.175051676
